city,location
Delhi,"28.61,77.23"
Mumbai,"19.0761,72.8775"
Kolkāta,"22.5675,88.37"
Bangalore,"12.9789,77.5917"
Chennai,"13.0825,80.275"
Hyderābād,"17.3617,78.4747"
Ahmedabad,"23.0225,72.5714"
