city,location
London,"51.5072,-0.1275"
Birmingham,"52.48,-1.9025"
Leeds,"53.7975,-1.5436"
Glasgow,"55.8611,-4.25"
Manchester,"53.479,-2.2452"
Sheffield,"53.3808,-1.4703"
Liverpool,"53.4094,-2.9785"
